no,district,landid,land,eligible,voters,turnout,cducsu1,cducsu2,spd1,spd2,dielinke1,dielinke2,greens1,greens2,pirates1,pirates2,afd1,afd2,area,population,popdensity,pop18_25,pop25_35,pop35_60,pop75_,abitur,localbusinesstax,unemployment,socialbenefits
78,Berlin-Spandau - Charlottenburg Nord,11,Berlin,187363,130485,69.642883,38.3729930643369,35.83323753688163,36.62489941372571,28.30363643330651,7.049852473464383,9.308349618730121,4.55378012798406,8.079089550523049,3.0884776,3.0348315,4.2479978,5.7155995,99,264,2628,8,16,36,8,41,355,11,161
79,Berlin-Steglitz - Zehlendorf,11,Berlin,220007,175539,79.787918,41.848250246384,36.74397142515338,28.79132272600391,25.27700397062761,5.185172525763505,7.078768820603969,11.63046388551832,13.37993266453609,2.4017456,2.4826391,4.1705832,5.2734718,102,299,2902,8,16,36,8,41,355,11,161
80,Berlin-Charlottenburg - Wilmersdorf,11,Berlin,197797,153420,77.564369,36.55260070394994,32.12423412853605,31.03832616347282,26.76183026984748,6.106113935601616,8.764176769651936,14.45443879546343,15.20271151088515,2.3836527,2.5237908,3.6820493,4.742537,57,292,5087,8,16,36,8,41,355,11,161
81,Berlin-Tempelhof - Schöneberg,11,Berlin,235259,177205,75.323364,34.3816483733529,31.19268643661296,25.76620298524308,26.99359498885472,7.223836799187382,10.12217488219858,20.0112863632516,15.20329561806947,2.9530768,3.1184223,3.6065574,4.5077734,53,335,6335,8,16,36,8,41,355,11,161
82,Berlin-Neukölln,11,Berlin,205635,140825,68.482994,29.88957926504527,28.43103142197763,31.61938576247115,25.71347417006923,11.46387360198828,13.97266110420735,11.45109178057873,13.60269838451979,4.3273568,4.0149121,2.9398189,4.1413102,45,321,7074,8,16,36,8,41,355,11,161
83,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,11,Berlin,226240,168048,74.278641,13.52173188612777,15.1587641626202,17.73243359040274,23.67418832714462,16.92433114348281,24.77803960773112,39.30781681424355,20.48224316861849,3.7590451,5.7197943,1.9786013,2.7509997,26,347,12842,8,16,36,8,41,355,11,161
84,Berlin-Treptow - Köpenick,11,Berlin,201629,148406,73.6035,22.26055550314677,25.04615716345701,17.58217322749754,21.02610406587335,41.54885921054404,29.05408137137313,4.948586984353732,7.268574046871421,2.8334434,3.4877295,3.9001119,5.4620433,167,246,1457,8,16,36,8,41,355,11,161
85,Berlin-Marzahn - Hellersdorf,11,Berlin,203968,132817,65.116585,25.26182642282238,25.5592281108593,16.82088889223518,18.90044196149589,38.29780826249652,32.39494944171303,3.065119675945097,3.81577659486361,2.7616947,3.008651,4.7787557,6.2635055,61,255,4091,8,16,36,8,41,355,11,161
86,Berlin-Lichtenberg,11,Berlin,205457,138551,67.435524,22.3657714487806,22.72881466030559,19.22468982540725,20.12688468506182,39.64749442443577,34.03656415327208,4.148652842635564,5.742289842729392,3.5488737,3.6607459,4.2056718,5.3987341,52,267,5069,8,16,36,8,41,355,11,161
87,Aachen I,5,North Rhine-Westphalia,179933,134447,74.720589,40.29468861335694,36.24327802033515,34.88884095591571,27.09766673856613,6.117652309088339,7.595558100961718,8.874128838873311,13.00512469597685,3.3775392,3.472744,2.2023549,3.0859745,160,260,1619,12,16,34,8,41,689,8,90
88,Aachen II,5,North Rhine-Westphalia,228375,164576,72.063927,44.73374003499902,40.30235271242466,35.02029457515069,32.14138148940307,5.722584094886253,6.403120746645927,5.526929807505347,6.209896947307019,2.7604268,2.2554929,,3.2428787,546,306,560,8,10,37,9,41,451,8,90
89,Heinsberg,5,North Rhine-Westphalia,188266,134521,71.452629,52.51893756365177,48.6295819983497,27.83505921008615,25.94018777737305,4.252124203655935,5.140461340608529,5.583514841548904,5.453423629024464,2.4605823,2.2442594,2.2621005,3.4581962,628,254,405,8,10,38,9,35,346,7,69
90,Düren,5,North Rhine-Westphalia,199550,145541,72.934601,49.40394802839062,43.65230416171389,33.56373805319463,29.23506091067122,5.007523653128672,5.579183872585732,4.775973780584166,5.997622663029661,3.344075,2.3897047,,3.9384091,941,267,283,8,10,37,9,36,411,7,81
91,Rhein-Erft-Kreis I,5,North Rhine-Westphalia,247721,182970,73.86132,45.68945728808001,41.27507241624311,34.8013335519484,30.10821446138711,4.273924687107176,5.064218177843363,5.368093130021315,6.702738153795703,3.5355523,2.1123681,,3.639941,525,337,638,7,10,38,8,38,498,7,75
92,Euskirchen - Rhein-Erft-Kreis II,5,North Rhine-Westphalia,245268,178218,72.66256,49.8036113074998,44.35859453029436,30.13331986668014,26.36209586012636,4.582028751304582,5.092078241255092,5.648138796305648,7.038570739207038,2.7460749,2.1468089,,4.030457,1428,320,224,7,10,37,9,36,345,6,64
93,Köln I,5,North Rhine-Westphalia,191277,132837,69.447449,36.30916085126884,33.02016757379344,36.61028177390335,30.68346921414967,6.461302197429933,8.061759901232337,10.17261756890023,12.08699383454911,2.5301685,2.635561,2.9246371,4.0402899,128,280,2168,8,16,36,8,40,929,9,109
94,Köln II,5,North Rhine-Westphalia,233118,184162,78.999474,39.6449864792954,35.24559898350365,32.56643607258827,26.16717889684083,5.169904757767617,6.890129342643976,14.34932287876978,15.55261128788784,1.9966117,2.2110968,2.0845778,3.233566,101,304,2969,8,16,36,8,40,929,9,109
95,Köln III,5,North Rhine-Westphalia,201922,141714,70.182549,32.45903721580084,30.27364974526158,38.82538069633205,31.2178048746066,7.679551773289865,9.145179728184937,12.73409825423035,14.75154183778596,2.9361954,2.6736948,,3.1845829,123,295,2390,8,16,36,8,40,929,9,109
96,Bonn,5,North Rhine-Westphalia,226487,175014,77.273308,37.01303895688345,35.90798450409681,37.6855565840447,25.66023289565406,4.298513261796199,6.278354874467186,8.454752191253272,13.53377444090187,2.3500977,2.5243695,2.5037997,4.2219481,141,329,2322,9,15,36,8,53,883,6,80
97,Rhein-Sieg-Kreis I,5,North Rhine-Westphalia,234377,172653,73.66465,48.97453273328584,42.96884502441313,29.11678337474588,26.68068322010043,4.602294776227462,5.500049231695945,6.310345027309111,8.108749920360491,2.0109699,2.1841497,3.1965849,4.3520818,660,317,479,8,10,38,8,41,370,5,59
98,Rhein-Sieg-Kreis II,5,North Rhine-Westphalia,213791,164635,77.007454,51.66459136878549,44.86287848877821,26.78531296504388,24.03559388951317,3.307316184286452,4.514835848999302,7.126066753727944,8.577762930118141,1.9139308,1.9212197,3.0722508,4.4717102,492,284,576,7,10,37,9,41,257,5,59
99,Oberbergischer Kreis,5,North Rhine-Westphalia,209414,150899,72.057739,51.55766439804107,44.69015699242539,29.67083943564901,26.6303951649779,4.223354694199431,5.338007541468134,5.086183473714207,6.856904286973406,1.8350022,1.8880178,2.9523058,4.961597,918,278,304,8,10,36,9,33,573,6,53
100,Rheinisch-Bergischer Kreis,5,North Rhine-Westphalia,216414,169131,78.151596,57.95330246968327,43.32617911559679,24.77014858305101,25.85037633550325,4.070217760197717,5.009726188575719,6.782907923443958,8.935677078714132,,1.9576541,2.7865975,4.6975422,437,276,631,7,9,37,10,42,256,6,57
101,Leverkusen - Köln IV,5,North Rhine-Westphalia,214098,150030,70.075386,38.79290808504965,35.24895020995801,40.77317869759381,32.33419982670133,5.701526361394388,7.075251616343397,7.057921748983537,9.520095980803839,,2.5434914,,3.8705592,131,305,2322,8,13,36,9,44,768,8,100
102,Wuppertal I,5,North Rhine-Westphalia,213132,145925,68.466957,35.92735994517732,32.53040945691279,40.02535549083433,31.96025355490834,7.532636628405003,8.565358917252013,6.988521500770944,9.811889669350695,2.922049,2.4402947,,4.1041632,130,307,2344,8,12,35,10,39,462,11,133
103,Solingen - Remscheid - Wuppertal II,5,North Rhine-Westphalia,226117,160929,71.170677,43.6645974311653,38.54432700134842,32.89090219910643,29.90324925898999,5.730477415506217,6.673750535950637,7.042857409168018,7.876765530140621,2.7540095,2.4240503,3.5941315,4.2583995,201,311,1546,8,11,36,10,37,493,9,100
104,Mettmann I,5,North Rhine-Westphalia,205564,154473,75.145943,48.95871770471215,42.52911512044177,34.20144620742784,27.948573537123,3.688023149676642,5.054605011879099,5.007347562357175,7.573491807629812,2.0288336,2.099396,3.0315979,5.0261211,183,272,1481,7,10,37,10,36,785,6,72
105,Mettmann II,5,North Rhine-Westphalia,165493,123036,74.345139,44.95188400143048,40.84495594785266,36.64862316720309,30.54390584869469,4.198771091387886,5.401671055625996,4.866055463441595,6.833772229266232,2.4358723,2.1579051,3.1787443,4.6571736,223,221,995,7,9,36,10,36,798,6,72
106,Düsseldorf I,5,North Rhine-Westphalia,218889,165028,75.393463,47.38953389727804,39.97988220180817,28.92297064740529,26.21918704704656,5.245776474295271,6.365586445936447,8.136195069927528,9.359017863635263,1.8560487,2.095402,3.0425141,4.1756549,129,312,2403,7,15,37,8,43,1293,8,104
107,Düsseldorf II,5,North Rhine-Westphalia,196250,139390,71.026749,40.16787430949135,36.6238611091183,34.48238754573499,29.94260707367817,8.994906377788938,7.679890953439989,7.400100437621063,9.612597747327642,2.7605999,2.5173972,,4.1932707,87,281,3198,7,15,37,8,43,1293,8,104
108,Neuss I,5,North Rhine-Westphalia,214614,154444,71.963615,50.96475097770066,44.9871798192225,30.18505089223278,27.58540312346223,3.873896039988604,4.924762373416902,4.678718499909353,6.062391546450494,2.5193598,2.3736758,2.6902955,4.0636086,347,291,838,7,11,37,9,44,717,5,66
109,Mönchengladbach,5,North Rhine-Westphalia,192676,127559,66.203888,50.0497808857078,43.14082111023134,28.74356180277362,27.78870953833128,6.13598413283265,6.334323724707783,5.987817402143322,6.108545849371663,,2.4686615,3.3388472,4.1196623,170,257,1509,8,11,36,9,38,506,10,140
